department_id_1,department_name_1,department_id_2,department_name_2,course_similarity_weighted,course_similarity_binary,score_median_1,score_median_2,score_difference_median
D01,건축학과,D11,경영학과,0.8208738144453033,0.8153742483272115,2.86,2.5,0.3599999999999999
D01,건축학과,D24,컴퓨터공학과,0.8204126541423667,0.8451542547285169,2.86,2.92,0.06000000000000005
D17,화학공학과,D21,전기전자공학과,0.8193365776101952,0.8374357893586235,2.4450000000000003,3.04,0.5949999999999998
D17,화학공학과,D19,식품영양학과,0.8190283593479218,0.8190283593479218,2.4450000000000003,3.22,0.7749999999999999
D23,응용통계학과,D24,컴퓨터공학과,0.8185874846865605,0.8432740427115681,3.13,2.92,0.20999999999999996
D11,경영학과,D13,사회학과,0.8183879352825011,0.7944299095067366,2.5,3.19,0.69
D15,생명과학과,D23,응용통계학과,0.8179128813519705,0.8179128813519705,3.33,3.13,0.20000000000000018
D05,화학과,D14,경제학과,0.8164965809277263,0.8176298175326769,3.04,3.495,0.45500000000000007
D04,기계공학과,D11,경영학과,0.8156034212281994,0.8131249357707345,3.1399999999999997,2.5,0.6399999999999997
D02,국어국문학과,D11,경영학과,0.8144110179279556,0.8086075400626402,3.705,2.5,1.205
D15,생명과학과,D21,전기전자공학과,0.8115026712006893,0.8268688657895651,3.33,3.04,0.29000000000000004
D15,생명과학과,D20,간호학과,0.8101979789084411,0.8164965809277264,3.33,2.25,1.08
D04,기계공학과,D07,신소재공학과,0.809523809523809,0.809523809523809,3.1399999999999997,2.535,0.6049999999999995
D15,생명과학과,D19,식품영양학과,0.8086937042208114,0.8086937042208114,3.33,3.22,0.10999999999999988
D05,화학과,D16,미디어커뮤니케이션학과,0.8084520834544435,0.7856742013183865,3.04,2.685,0.355
D05,화학과,D13,사회학과,0.8021806287494234,0.7795794428691072,3.04,3.19,0.1499999999999999
D10,수학과,D12,약학과,0.8013876853447544,0.8215838362577497,3.375,1.23,2.145
D09,의예과,D10,수학과,0.8013876853447544,0.8215838362577497,1.15,3.375,2.225
D14,경제학과,D17,화학공학과,0.7938841860374446,0.8295150620062529,3.495,2.4450000000000003,1.0499999999999998
D14,경제학과,D15,생명과학과,0.7921180343813395,0.8215838362577497,3.495,3.33,0.16500000000000004
D05,화학과,D21,전기전자공학과,0.7872732303132519,0.8206099398622181,3.04,3.04,0.0
D05,화학과,D20,간호학과,0.7860074928709302,0.7698003589195006,3.04,2.25,0.79
D02,국어국문학과,D05,화학과,0.78600120126252,0.7468160448149384,3.705,3.04,0.665
D05,화학과,D24,컴퓨터공학과,0.7860012012625197,0.8176298175326769,3.04,2.92,0.1200000000000001
D10,수학과,D20,간호학과,0.7827837858396192,0.8164965809277264,3.375,2.25,1.125
D03,심리학과,D05,화학과,0.7810787627463994,0.7505683356701915,2.635,3.04,0.40500000000000025
D04,기계공학과,D09,의예과,0.7807200583588263,0.7807200583588263,3.1399999999999997,1.15,1.9899999999999998
D04,기계공학과,D12,약학과,0.7807200583588263,0.7807200583588263,3.1399999999999997,1.23,1.9099999999999997
D01,건축학과,D14,경제학과,0.7791937224739798,0.802896541992091,2.86,3.495,0.6350000000000002
D04,기계공학과,D19,식품영양학과,0.7735267838285929,0.7735267838285929,3.1399999999999997,3.22,0.08000000000000052
D07,신소재공학과,D21,전기전자공학과,0.7711403083390073,0.7909115788387,2.535,3.04,0.5049999999999999
D16,미디어커뮤니케이션학과,D19,식품영양학과,0.766130877682874,0.766130877682874,2.685,3.22,0.5350000000000001
D11,경영학과,D15,생명과학과,0.7629271414291484,0.7606087305741642,2.5,3.33,0.8300000000000001
D13,사회학과,D22,사학과,0.7614196364546502,0.7407437469876471,3.19,3.5,0.31000000000000005
D01,건축학과,D12,약학과,0.7606388292556652,0.7606388292556652,2.86,1.23,1.63
D01,건축학과,D09,의예과,0.7606388292556652,0.7606388292556652,2.86,1.15,1.71
D11,경영학과,D14,경제학과,0.7594937342025386,0.7016464154456236,2.5,3.495,0.9950000000000001
D14,경제학과,D19,식품영양학과,0.7585826061362606,0.7926290870042666,3.495,3.22,0.2749999999999999
D01,건축학과,D23,응용통계학과,0.757240185418536,0.757240185418536,2.86,3.13,0.27
D16,미디어커뮤니케이션학과,D22,사학과,0.7570424080242605,0.7637626158259739,2.685,3.5,0.815
D13,사회학과,D19,식품영양학과,0.7557421816064582,0.7557421816064582,3.19,3.22,0.03000000000000025
D07,신소재공학과,D20,간호학과,0.7543783209066018,0.7637626158259729,2.535,2.25,0.28500000000000014
D04,기계공학과,D20,간호학과,0.7543783209066018,0.7637626158259729,3.1399999999999997,2.25,0.8899999999999997
D01,건축학과,D20,간호학과,0.7500975736685329,0.7559289460184544,2.86,2.25,0.6099999999999999
D19,식품영양학과,D24,컴퓨터공학과,0.750027870162214,0.7460038465922509,3.22,2.92,0.30000000000000027
D09,의예과,D24,컴퓨터공학과,0.7488452649040589,0.7500000000000001,1.15,2.92,1.77
D12,약학과,D24,컴퓨터공학과,0.7488452649040589,0.7500000000000001,1.23,2.92,1.69
D18,디자인학과,D22,사학과,0.7459478972924373,0.7590721152765899,4.12,3.5,0.6200000000000001
D06,산업공학과,D24,컴퓨터공학과,0.7442084075352505,0.6708203932499368,3.05,2.92,0.1299999999999999
D14,경제학과,D23,응용통계학과,0.7431605356175385,0.7378647873726221,3.495,3.13,0.3650000000000002
D07,신소재공학과,D14,경제학과,0.7409585736349483,0.7807200583588263,2.535,3.495,0.96
D11,경영학과,D23,응용통계학과,0.7380952380952378,0.739600261633639,2.5,3.13,0.6299999999999999
D11,경영학과,D19,식품영양학과,0.7372097807744858,0.736074738098578,2.5,3.22,0.7200000000000002
